key	category	total_count
"SHORTER"	"Attributes"	8
"HIGHEST"	"Attributes"	7
"18-MONTH"	"Attributes"	7
"1000"	"Attributes"	7
"9 MONTHS"	"Attributes"	7
"100000"	"Attributes"	7
"24 MONTHS"	"Attributes"	7
"CREDIBLE"	"Attributes"	7
"UNUSUAL"	"Attributes"	7
"CONSISTENTLY"	"Attributes"	7
"120 DAYS"	"Attributes"	6
"IN THE FUTURE"	"Attributes"	6
"150"	"Attributes"	6
"IMMINENT"	"Attributes"	6
"15 DAYS"	"Attributes"	6
"30 MONTHS"	"Attributes"	6
"AS SOON AS PRACTICABLE"	"Attributes"	6
"ADVISABLE"	"Attributes"	6
"50"	"Attributes"	6
"JANUARY 1 2010"	"Attributes"	6
"50 PERCENT"	"Attributes"	6
"QUARTERLY"	"Attributes"	6
"24 HOURS"	"Attributes"	6
"2009"	"Attributes"	5
"HIGHLY"	"Attributes"	5
"360 DAYS"	"Attributes"	5
"1ST"	"Attributes"	5
"IMPROPER"	"Attributes"	5
"FOURTH"	"Attributes"	5
"90 PERCENT"	"Attributes"	5
"WHERE FEASIBLE"	"Attributes"	5
"PROPERLY"	"Attributes"	5
"UNDUE"	"Attributes"	5
"6 YEARS"	"Attributes"	5
"5-YEAR"	"Attributes"	5
"2013"	"Attributes"	5
"45 DAYS"	"Attributes"	5
"12-MONTH"	"Attributes"	5
"UNFAIRLY"	"Attributes"	4
"TEN"	"Attributes"	4
"50000000"	"Attributes"	4
"1000000000"	"Attributes"	4
"SEPTEMBER 30"	"Attributes"	4
"3 DAYS"	"Attributes"	4
"2ND"	"Attributes"	4
"PRUDENT"	"Attributes"	4
"100000000"	"Attributes"	4
"5 PERCENT"	"Attributes"	4
"10000"	"Attributes"	4
"SIXTH"	"Attributes"	4
"330-DAY"	"Attributes"	4
"JANUARY 1 2013"	"Attributes"	4
"TO THE EXTENT FEASIBLE"	"Attributes"	4
"500"	"Attributes"	4
"30-MONTH"	"Attributes"	4
"IDENTICAL"	"Attributes"	4
"UNNECESSARY"	"Attributes"	4
"6TH"	"Attributes"	3
"MEDIAN"	"Attributes"	3
"ONE YEAR"	"Attributes"	3
"UNDULY"	"Attributes"	3
"25000"	"Attributes"	3
"JANUARY 1"	"Attributes"	3
"2004"	"Attributes"	3
"OCTOBER 1 2011"	"Attributes"	3
"20000"	"Attributes"	3
"2008"	"Attributes"	3
"EASILY"	"Attributes"	3
"25000000"	"Attributes"	3
"2003"	"Attributes"	3
"200000000"	"Attributes"	3
"21 DAYS"	"Attributes"	3
"2007"	"Attributes"	3
"OCTOBER 1 2010"	"Attributes"	3
"10-YEAR"	"Attributes"	3
"FEASIBLE"	"Attributes"	3
"15 MONTHS"	"Attributes"	3
"SEMI-ANNUAL"	"Attributes"	3
"500000"	"Attributes"	3
"2000"	"Attributes"	3
"62"	"Attributes"	3
"2014"	"Attributes"	3
"85 PERCENT"	"Attributes"	3
"PRESENTLY"	"Attributes"	3
"INADEQUATE"	"Attributes"	3
"DISPROPORTIONATELY"	"Attributes"	3
"TRIPLE"	"Attributes"	3
"3RD"	"Attributes"	3
"25 PERCENT"	"Attributes"	3
"TEMPORARILY"	"Attributes"	3
"MILLION"	"Attributes"	3
"APRIL 30"	"Attributes"	2
"PERMANENTLY"	"Attributes"	2
"85 PERCENTAGE POINTS"	"Attributes"	2
"120-DAY"	"Attributes"	2
"THOROUGH"	"Attributes"	2
"125"	"Attributes"	2
"36 MONTHS"	"Attributes"	2
"14 DAYS"	"Attributes"	2
"MARCH 1"	"Attributes"	2
"15 PERCENT"	"Attributes"	2
"MULTI-YEAR"	"Attributes"	2
"75 PERCENT"	"Attributes"	2
"2015"	"Attributes"	2
"MARCH 31 2010"	"Attributes"	2
"PER ANNUM"	"Attributes"	2
"LEGITIMATE"	"Attributes"	2
"1970"	"Attributes"	2
"SEPTEMBER 30 2011"	"Attributes"	2
"INAPPROPRIATELY"	"Attributes"	2
"10 BUSINESS DAYS"	"Attributes"	2
"DECEMBER 1 2009"	"Attributes"	2
"2500"	"Attributes"	2
"OCTOBER 30"	"Attributes"	2
"1500000000"	"Attributes"	2
"FIFTH"	"Attributes"	2
"ACCURATELY"	"Attributes"	2
"MAY 1 2010"	"Attributes"	2
"75000"	"Attributes"	2
"INVALID"	"Attributes"	2
"4TH"	"Attributes"	2
"150000000"	"Attributes"	2
"140000"	"Attributes"	2
"FIFTH JANUARY"	"Attributes"	2
"300000000"	"Attributes"	2
"2 MONTHS"	"Attributes"	2
"443"	"Attributes"	2
"DECEMBER 2008"	"Attributes"	2
"30 PERCENT"	"Attributes"	2
"GRAVE"	"Attributes"	2
"135 PERCENT"	"Attributes"	2
"TRIENNIAL"	"Attributes"	2
"JUNE 30"	"Attributes"	2
"DECEMBER 1 2007"	"Attributes"	2
"9-MONTH"	"Attributes"	2
"15-DAY"	"Attributes"	2
"210"	"Attributes"	2
"75000000"	"Attributes"	2
"NEGATIVELY"	"Attributes"	2
"STRICTLY"	"Attributes"	2
"1259000000"	"Attributes"	1
"1996"	"Attributes"	1
"725000"	"Attributes"	1
"365-DAY"	"Attributes"	1
"JUNE 16 2013"	"Attributes"	1
"45000000"	"Attributes"	1
"EIGHTH"	"Attributes"	1
"24-MONTH"	"Attributes"	1
"JUNE 25 2010"	"Attributes"	1
"JANUARY 1 2008"	"Attributes"	1
"3000000"	"Attributes"	1
"101 PERCENT"	"Attributes"	1
"250000000"	"Attributes"	1
"AUGUST 3 1994"	"Attributes"	1
"8 MONTHS"	"Attributes"	1
"UNCONSTITUTIONAL"	"Attributes"	1
"700000000000"	"Attributes"	1
"BI-ANNUAL"	"Attributes"	1
"JANUARY 1 2011"	"Attributes"	1
"SIX-MONTH"	"Attributes"	1
"WELLS"	"Attributes"	1
"DECEMBER 1 2010"	"Attributes"	1
"8000000"	"Attributes"	1
"1/100TH"	"Attributes"	1
"APRIL 1"	"Attributes"	1
"1/3"	"Attributes"	1
"4-YEAR"	"Attributes"	1
"60 PERCENT"	"Attributes"	1
"NOVEMBER 23 2009"	"Attributes"	1
"TWO-YEAR"	"Attributes"	1
"2000000000"	"Attributes"	1
"OCTOBER 3 2008"	"Attributes"	1
"ODD"	"Attributes"	1
"2005"	"Attributes"	1
"2500000000"	"Attributes"	1
"EASY"	"Attributes"	1
"SEPTEMBER 7 2008"	"Attributes"	1
"56 PERCENT"	"Attributes"	1
"150-DAY"	"Attributes"	1
"24-HOUR"	"Attributes"	1
"40 PERCENT"	"Attributes"	1
"30 LEGISLATIVE DAYS"	"Attributes"	1
"ILL-SUITED"	"Attributes"	1
"FIVE-MONTH"	"Attributes"	1
"WEEKLY"	"Attributes"	1
"SEPTEMBER 30 2012"	"Attributes"	1
"30000000"	"Attributes"	1
"OCTOBER 4 2010"	"Attributes"	1
"OCTOBER 2 1999"	"Attributes"	1
"APRIL 30 BIENNIALLY"	"Attributes"	1
"MINIMAL"	"Attributes"	1
"DECEMBER 31 2009"	"Attributes"	1
"SEPTEMBER 22 1988"	"Attributes"	1
"2250000000"	"Attributes"	1
"2006"	"Attributes"	1
"90 CALENDAR DAYS"	"Attributes"	1
"AT PAR"	"Attributes"	1
"65 PERCENTAGE POINTS"	"Attributes"	1
"DECEMBER 23 2008"	"Attributes"	1
"DECEMBER 8 1997"	"Attributes"	1
"JANUARY 1 2014"	"Attributes"	1
"SEPTEMBER 30 1996"	"Attributes"	1
"APRIL 20 1991"	"Attributes"	1
"AUGUST 31 2011"	"Attributes"	1
"JANUARY 31 2011"	"Attributes"	1
"133"	"Attributes"	1
"7 YEARS"	"Attributes"	1
"EXIGENT"	"Attributes"	1
"5300000000000"	"Attributes"	1
"2001"	"Attributes"	1
"327 PERCENT"	"Attributes"	1
"JANUARY 1 2012"	"Attributes"	1
"175000000000"	"Attributes"	1
"1244000000"	"Attributes"	1
"2002"	"Attributes"	1
"475000000000"	"Attributes"	1
"SEPTEMBER 30 2020"	"Attributes"	1
"501 PERCENT"	"Attributes"	1
"200000000000"	"Attributes"	1
"MARCH 31"	"Attributes"	1
"44 PERCENT"	"Attributes"	1
"375000"	"Attributes"	1
"42 PERCENT"	"Attributes"	1
"100 PERCENT"	"Attributes"	1
"JUNE 1 2010"	"Attributes"	1
"FOUR"	"Attributes"	1
"EXCEPTIONAL"	"Attributes"	1
"APRIL 5"	"Attributes"	1
"28 PERCENT"	"Attributes"	1
"FOURTH DAY"	"Attributes"	1
"1000000000000"	"Attributes"	1
"20000000"	"Attributes"	1
"TWO-THIRDS"	"Attributes"	1
"PREDOMINATELY"	"Attributes"	1
"002 PERCENT"	"Attributes"	1
"35000000"	"Attributes"	1
"OPTIMAL"	"Attributes"	1
"DECEMBER 6 1997"	"Attributes"	1
"JANUARY 1 2015"	"Attributes"	1
"UNWARRANTED"	"Attributes"	1
"14 UNIT"	"Attributes"	1
"30-YEAR"	"Attributes"	1
"SHORT-DATED"	"Attributes"	1
"1-4 UNIT"	"Attributes"	1
"MARCH 2010"	"Attributes"	1
"365 DAYS"	"Attributes"	1
"1995"	"Attributes"	1
"15000000000"	"Attributes"	1
"7500"	"Attributes"	1
"05 PERCENT"	"Attributes"	1
"JUNE 8 2002"	"Attributes"	1
"JUNE 15"	"Attributes"	1
"788 PERCENT"	"Attributes"	1
"150000"	"Attributes"	1
"1-MONTH"	"Attributes"	1
"799 PERCENT"	"Attributes"	1
"JANUARY 14 2008"	"Attributes"	1
"1750000000"	"Attributes"	1
"5000000000"	"Attributes"	1
"28 DAYS"	"Attributes"	1
"COMMISSION"	"EconomicOperands"	1573
"PERSON"	"EconomicOperands"	920
"BUREAU"	"EconomicOperands"	788
"CORPORATION"	"EconomicOperands"	771
"INCLUDING"	"EconomicOperands"	761
"INFORMATION"	"EconomicOperands"	731
"DATE"	"EconomicOperands"	692
"STATE"	"EconomicOperands"	607
"REPORT"	"EconomicOperands"	564
"AUTHORITY"	"EconomicOperands"	552
"FEDERAL"	"EconomicOperands"	545
"FINANCIAL"	"EconomicOperands"	542
"BOARD OF GOVERNORS"	"EconomicOperands"	529
"DIRECTOR"	"EconomicOperands"	517
"RULES"	"EconomicOperands"	516
"BOARD"	"EconomicOperands"	507
"SEC"	"EconomicOperands"	503
"REQUIREMENTS"	"EconomicOperands"	497
"SECURITIES"	"EconomicOperands"	461
"AGENCY"	"EconomicOperands"	453
"LAW"	"EconomicOperands"	449
"PURPOSES"	"EconomicOperands"	444
"PROVIDED"	"EconomicOperands"	441
"RULE"	"EconomicOperands"	426
"TRANSACTION"	"EconomicOperands"	423
"COVERED FINANCIAL COMPANY"	"EconomicOperands"	416
"UNITED STATES"	"EconomicOperands"	413
"SECURITY-BASED SWAP"	"EconomicOperands"	387
"CONSUMER"	"EconomicOperands"	384
"PROVISION"	"EconomicOperands"	382
"ACTION"	"EconomicOperands"	382
"COUNCIL"	"EconomicOperands"	378
"REGULATIONS"	"EconomicOperands"	368
"CONTRACT"	"EconomicOperands"	363
"REGISTERED"	"EconomicOperands"	354
"AMOUNT"	"EconomicOperands"	345
"ITS"	"EconomicOperands"	345
"PROVIDE"	"EconomicOperands"	343
"DEFINED"	"EconomicOperands"	338
"COMPANY"	"EconomicOperands"	322
"SECRETARY"	"EconomicOperands"	320
"OFFICE"	"EconomicOperands"	318
"PERIOD"	"EconomicOperands"	315
"PUBLIC"	"EconomicOperands"	313
"ACTIVITIES"	"EconomicOperands"	307
"STANDARDS"	"EconomicOperands"	301
"SWAP"	"EconomicOperands"	294
"G"	"EconomicOperands"	294
"LOAN"	"EconomicOperands"	293
"REGULATION"	"EconomicOperands"	293
"COMPLIANCE"	"EconomicOperands"	289
"ENFORCEMENT"	"EconomicOperands"	288
"RECEIVER"	"EconomicOperands"	285
"DETERMINATION"	"EconomicOperands"	277
"CREDIT"	"EconomicOperands"	274
"NOTICE"	"EconomicOperands"	273
"PROVISIONS"	"EconomicOperands"	269
"AGREEMENT"	"EconomicOperands"	263
"INCLUDE"	"EconomicOperands"	261
"FUND"	"EconomicOperands"	261
"STUDY"	"EconomicOperands"	256
"DATA"	"EconomicOperands"	253
"ORDER"	"EconomicOperands"	252
"INTEREST"	"EconomicOperands"	250
"SERVICES"	"EconomicOperands"	249
"TIME"	"EconomicOperands"	249
"AVAILABLE"	"EconomicOperands"	246
"REPORTS"	"EconomicOperands"	238
"PROPERTY"	"EconomicOperands"	233
"INSURANCE"	"EconomicOperands"	231
"USE"	"EconomicOperands"	229
"MARKET"	"EconomicOperands"	226
"ASSETS"	"EconomicOperands"	225
"YEAR"	"EconomicOperands"	224
"SECURITY"	"EconomicOperands"	220
"OFFICE OF THRIFT SUPERVISION"	"EconomicOperands"	220
"CLEARING"	"EconomicOperands"	216
"SWAPS"	"EconomicOperands"	215
"COMPANIES"	"EconomicOperands"	213
"ENTITY"	"EconomicOperands"	213
"PROCEDURES"	"EconomicOperands"	211
"TRANSACTIONS"	"EconomicOperands"	208
"TRANSFERRED"	"EconomicOperands"	208
"TRANSFER"	"EconomicOperands"	206
"REVIEW"	"EconomicOperands"	205
"COURT"	"EconomicOperands"	203
"AGENCIES"	"EconomicOperands"	201
"PLACE"	"EconomicOperands"	200
"CONDUCT"	"EconomicOperands"	199
"MORTGAGE"	"EconomicOperands"	198
"PERSONS"	"EconomicOperands"	197
"ACCOUNT"	"EconomicOperands"	197
"VIOLATION"	"EconomicOperands"	192
"EMPLOYEES"	"EconomicOperands"	191
"REGULATORY"	"EconomicOperands"	190
"PAYMENT"	"EconomicOperands"	189
"SUBSIDIARY"	"EconomicOperands"	188
"FOREIGN"	"EconomicOperands"	185
"SALE"	"EconomicOperands"	185
"REQUEST"	"EconomicOperands"	184
"EMPLOYEE"	"EconomicOperands"	181
"BUSINESS"	"EconomicOperands"	181
"SUBMIT"	"EconomicOperands"	181
"FUNDS"	"EconomicOperands"	180
"ISSUED"	"EconomicOperands"	179
"SECURITY-BASED SWAP DEALER"	"EconomicOperands"	179
"BANK"	"EconomicOperands"	179
"ISSUER"	"EconomicOperands"	178
"INSURED DEPOSITORY INSTITUTION"	"EconomicOperands"	173
"SYSTEM"	"EconomicOperands"	172
"DERIVATIVES CLEARING ORGANIZATION"	"EconomicOperands"	172
"IT"	"EconomicOperands"	172
"MEMBER"	"EconomicOperands"	172
"FEDERAL RESERVE"	"EconomicOperands"	172
"CONSUMERS"	"EconomicOperands"	169
"TRADE"	"EconomicOperands"	168
"APPROPRIATE FEDERAL BANKING AGENCY"	"EconomicOperands"	168
"CONGRESS"	"EconomicOperands"	167
"ENTITIES"	"EconomicOperands"	166
"NEW"	"EconomicOperands"	165
"SWAP DEALER"	"EconomicOperands"	164
"ISSUE"	"EconomicOperands"	162
"SECURITIES AND EXCHANGE COMMISSION"	"EconomicOperands"	161
"CONSULTATION"	"EconomicOperands"	160
"PLAN"	"EconomicOperands"	158
"JURISDICTION"	"EconomicOperands"	158
"EFFECT"	"EconomicOperands"	157
"MAJOR SECURITY-BASED SWAP PARTICIPANT"	"EconomicOperands"	157
"COMPTROLLER OF THE CURRENCY"	"EconomicOperands"	156
"USED"	"EconomicOperands"	155
"COMMODITY FUTURES TRADING COMMISSION"	"EconomicOperands"	155
"PROTECTION"	"EconomicOperands"	154
"DEALER"	"EconomicOperands"	154
"PROGRAM"	"EconomicOperands"	152
"COMPENSATION"	"EconomicOperands"	151
"MAJOR SWAP PARTICIPANT"	"EconomicOperands"	151
"SENATE"	"EconomicOperands"	150
"REPORTING"	"EconomicOperands"	149
"OBLIGATIONS"	"EconomicOperands"	147
"MUNICIPAL"	"EconomicOperands"	145
"RECOMMENDATIONS"	"EconomicOperands"	145
"FINAL"	"EconomicOperands"	143
"EXAMINATION"	"EconomicOperands"	140
"PROVIDING"	"EconomicOperands"	140
"NATIONALLY RECOGNIZED STATISTICAL RATING ORGANIZATION"	"EconomicOperands"	138
"INVESTMENT"	"EconomicOperands"	138
"CONTRACTS"	"EconomicOperands"	137
"BRIDGE FINANCIAL COMPANY"	"EconomicOperands"	135
"INVESTORS"	"EconomicOperands"	135
"RECORDS"	"EconomicOperands"	135
"EC"	"EconomicOperands"	134
"OFFICER"	"EconomicOperands"	133
"CREDITOR"	"EconomicOperands"	132
"AFFILIATE"	"EconomicOperands"	132
"ACTIONS"	"EconomicOperands"	131
"COVERED PERSON"	"EconomicOperands"	131
"DIRECTORS"	"EconomicOperands"	130
"NATIONAL"	"EconomicOperands"	130
"BROKER"	"EconomicOperands"	129
"REQUIREMENT"	"EconomicOperands"	128
"RISK"	"EconomicOperands"	128
"FORM"	"EconomicOperands"	127
"AMOUNTS"	"EconomicOperands"	127
"BASIS"	"EconomicOperands"	126
"BANK HOLDING COMPANY"	"EconomicOperands"	126
"COMMITTEE"	"EconomicOperands"	125
"CONDITIONS"	"EconomicOperands"	125
"ADDITIONAL"	"EconomicOperands"	125
"GOVERNMENT"	"EconomicOperands"	124
"INDIVIDUAL"	"EconomicOperands"	124
"US"	"EconomicOperands"	124
"MANAGEMENT"	"EconomicOperands"	122
"DUTIES"	"EconomicOperands"	120
"WRITTEN"	"EconomicOperands"	120
"REPRESENTATIVES"	"EconomicOperands"	119
"CAPITAL"	"EconomicOperands"	118
"MEMBERS"	"EconomicOperands"	118
"CLAIM"	"EconomicOperands"	118
"REGISTRATION"	"EconomicOperands"	118
"RIGHTS"	"EconomicOperands"	117
"TRADING"	"EconomicOperands"	117
"VALUE"	"EconomicOperands"	116
"DEFINITIONS"	"EconomicOperands"	116
"FUNCTIONS"	"EconomicOperands"	115
"PRUDENTIAL REGULATOR"	"EconomicOperands"	115
"PROCEEDING"	"EconomicOperands"	114
"PAY"	"EconomicOperands"	114
"PROPOSED"	"EconomicOperands"	113
"CARRY OUT"	"EconomicOperands"	113
"HOUSING"	"EconomicOperands"	113
"PARTY"	"EconomicOperands"	112
"LOANS"	"EconomicOperands"	111
"FEDERAL DEPOSIT INSURANCE CORPORATION"	"EconomicOperands"	110
"APPLICATION"	"EconomicOperands"	110
"OFFICE OF THE COMPTROLLER OF THE CURRENCY"	"EconomicOperands"	110
"RECEIVED"	"EconomicOperands"	109
"SERVICE"	"EconomicOperands"	109
"RISKS"	"EconomicOperands"	109
"EXTENT"	"EconomicOperands"	109
"FEES"	"EconomicOperands"	109
"DISCLOSURE"	"EconomicOperands"	108
"APPRAISAL"	"EconomicOperands"	108
"PRINCIPAL"	"EconomicOperands"	108
"ASSISTANCE"	"EconomicOperands"	107
"APPOINTED"	"EconomicOperands"	105
"DEALERS"	"EconomicOperands"	105
"CLASS"	"EconomicOperands"	105
"ORDERS"	"EconomicOperands"	103
"PURCHASE"	"EconomicOperands"	103
"EFFECTIVE DATE"	"EconomicOperands"	103
"ACCESS"	"EconomicOperands"	103
"EXERCISE"	"EconomicOperands"	102
"MAINTAIN"	"EconomicOperands"	102
"AUTHORITIES"	"EconomicOperands"	102
"POTENTIAL"	"EconomicOperands"	101
"FINANCIAL INSTITUTION"	"EconomicOperands"	101
"RATE"	"EconomicOperands"	101
"PAYMENTS"	"EconomicOperands"	101
"APPOINTMENT"	"EconomicOperands"	100
"EXCHANGE"	"EconomicOperands"	100
"OBLIGATION"	"EconomicOperands"	100
"ACTIVITY"	"EconomicOperands"	100
"COMMODITY"	"EconomicOperands"	99
"CHANGE"	"EconomicOperands"	99
"DEFINITION"	"EconomicOperands"	99
"POSITION"	"EconomicOperands"	99
"DESIGNATED TRANSFER DATE"	"EconomicOperands"	98
"COMMITTEE ON BANKING HOUSING AND URBAN AFFAIRS"	"EconomicOperands"	98
"FISCAL"	"EconomicOperands"	98
"LIMIT"	"EconomicOperands"	97
"HOME"	"EconomicOperands"	96
"RESOLUTION"	"EconomicOperands"	96
"BROKERS"	"EconomicOperands"	96
"RESIDENTIAL MORTGAGE LOAN"	"EconomicOperands"	95
"COUNTERPARTY"	"EconomicOperands"	95
"MATERIAL"	"EconomicOperands"	95
"DEBT"	"EconomicOperands"	94
"CUSTOMER"	"EconomicOperands"	94
"SUPERVISION"	"EconomicOperands"	94
"BUREAU OF CONSUMER FINANCIAL PROTECTION"	"EconomicOperands"	93
"PERIOD BEGINNING"	"EconomicOperands"	93
"CONDUCTED"	"EconomicOperands"	92
"ENGAGED"	"EconomicOperands"	92
"HEARING"	"EconomicOperands"	92
"COMPTROLLER GENERAL"	"EconomicOperands"	92
"NUMBER"	"EconomicOperands"	91
"LIMITATION"	"EconomicOperands"	90
"LAWS"	"EconomicOperands"	90
"GROUP"	"EconomicOperands"	90
"OPTION"	"EconomicOperands"	89
"DISCRETION"	"EconomicOperands"	89
"FINANCIAL INSTITUTIONS"	"EconomicOperands"	89
"COMPLAINT"	"EconomicOperands"	89
"PRACTICES"	"EconomicOperands"	89
"ACCOUNTING"	"EconomicOperands"	88
"CIVIL"	"EconomicOperands"	88
"PRIOR"	"EconomicOperands"	88
"PROCESS"	"EconomicOperands"	87
"CONTROL"	"EconomicOperands"	87
"DEPOSITORY INSTITUTION"	"EconomicOperands"	87
"ABILITY"	"EconomicOperands"	87
"COMMITTEE ON FINANCIAL SERVICES OF THE HOUSE"	"EconomicOperands"	86
"CLAIMS"	"EconomicOperands"	86
"LIMITATIONS"	"EconomicOperands"	85
"AND REGULATION"	"EconomicOperands"	85
"HELD"	"EconomicOperands"	85
"CERTIFICATION"	"EconomicOperands"	85
"LEGAL"	"EconomicOperands"	84
"PRICE"	"EconomicOperands"	84
"BOARD OF TRADE"	"EconomicOperands"	84
"FINANCIAL COMPANY"	"EconomicOperands"	84
"PENALTY"	"EconomicOperands"	83
"FINANCE"	"EconomicOperands"	83
"POLICIES"	"EconomicOperands"	83
"ADOPT"	"EconomicOperands"	83
"DAY"	"EconomicOperands"	83
"PURPOSE"	"EconomicOperands"	82
"COUNSELING"	"EconomicOperands"	82
"TRANSFER DATE"	"EconomicOperands"	82
"PROVIDES"	"EconomicOperands"	82
"ADMINISTRATIVE"	"EconomicOperands"	81
"POWERS"	"EconomicOperands"	81
"FACILITY"	"EconomicOperands"	81
"EXAMINATIONS"	"EconomicOperands"	81
"RIGHT"	"EconomicOperands"	80
"BENEFITS"	"EconomicOperands"	80
"SUBMITTED"	"EconomicOperands"	80
"AFFECT"	"EconomicOperands"	80
"INSPECTOR"	"EconomicOperands"	79
"LIMITS"	"EconomicOperands"	79
"WHISTLEBLOWER"	"EconomicOperands"	79
"SWAP EXECUTION FACILITY"	"EconomicOperands"	79
"NATURE"	"EconomicOperands"	78
"STATEMENT"	"EconomicOperands"	78
"CONSIDER"	"EconomicOperands"	78
"SETTLEMENT"	"EconomicOperands"	78
"CONFLICTS OF INTEREST"	"EconomicOperands"	78
"INSURED"	"EconomicOperands"	78
"RULES OF"	"EconomicOperands"	78
"FEDERAL CONSUMER FINANCIAL LAW"	"EconomicOperands"	77
"SUPERVISORY"	"EconomicOperands"	77
"PETITION"	"EconomicOperands"	76
"IMPOSED"	"EconomicOperands"	76
"ORGANIZATION"	"EconomicOperands"	76
"OVERSIGHT"	"EconomicOperands"	76
"ADVICE"	"EconomicOperands"	76
"RECEIPT"	"EconomicOperands"	75
"INCLUDES"	"EconomicOperands"	75
"FUTURE"	"EconomicOperands"	75
"INSTITUTIONS"	"EconomicOperands"	74
"DELIVERY"	"EconomicOperands"	74
"DEFAULT"	"EconomicOperands"	74
"REAL"	"EconomicOperands"	74
"WRITING"	"EconomicOperands"	73
"FINANCIAL SYSTEM"	"EconomicOperands"	73
"MARGIN"	"EconomicOperands"	73
"MARKETS"	"EconomicOperands"	73
"CONSULT"	"EconomicOperands"	73
"TREATMENT"	"EconomicOperands"	72
"ORDERLY"	"EconomicOperands"	72
"CONSIDERATION"	"EconomicOperands"	72
"POSITIONS"	"EconomicOperands"	72
"LIQUIDATION"	"EconomicOperands"	71
"FEE"	"EconomicOperands"	71
"TYPE"	"EconomicOperands"	71
"OUT"	"EconomicOperands"	70
