Access see Market access, EconomicOperand
investor empowerment, EconomicOperand
investor protection, EconomicOperand
origins, EconomicOperand
overview, EconomicOperand
regulatory tools, EconomicOperand
rulemaking governance, EconomicOperand
retention of investment risk, EconomicOperand
UK approach to ‘twin peaks’ supervision, EconomicOperand
US reform White Paper, EconomicOperand
Contagion, EconomicOperand
causes, EconomicOperand
cross-border effects of Great Crash, EconomicOperand
direct exposures between financial institutions, EconomicOperand
distinguishing feature of bank failures, EconomicOperand
effects of sudden re-capitalization, EconomicOperand
fire-sale contagion, EconomicOperand
prevention by macro-prudential policy,, EconomicOperand
shadow banking, EconomicOperand
stress-testing, EconomicOperand
Costs, EconomicOperand
agency costs, EconomicOperand
mandatory disclosure, EconomicOperand
measurement and specification, EconomicOperand
why systems are crisis-prone, EconomicOperand
bank bailouts, EconomicOperand
compliance strategies, EconomicOperand
financial innovation, EconomicOperand
financialization and capital allocation efficiency, EconomicOperand
flawed uses of innovation, EconomicOperand
importance to institutional design, EconomicOperand
mandatory disclosure,, EconomicOperand
retail marketing, EconomicOperand
‘too-big-to’ institutions, EconomicOperand
transaction costs, EconomicOperand
market efficiency, EconomicOperand
reform of FMIs, EconomicOperand
role of legal rules, EconomicOperand
welfare costs , EconomicOperand
Credit default swaps (CDSs), EconomicOperand
financialization and capital allocation efficiency, EconomicOperand
flawed uses of innovation, EconomicOperand
regulation after, EconomicOperand
Credit ratings agencies (CRAs), EconomicOperand
conflicts of interest, EconomicOperand
comments on regulatory responses, EconomicOperand
disclosure, EconomicOperand
reform of regulatory mechanisms, EconomicOperand
regulatory responses in EU and US, EconomicOperand
underlying problem, EconomicOperand
as gatekeepers, EconomicOperand
litigation risk, EconomicOperand
moral hazard, EconomicOperand
reputation, EconomicOperand
effect of lack of competition, EconomicOperand
‘hard-wiring’ of into regulatory system, EconomicOperand
Credit risk transfer (CRT), EconomicOperand
Crises see Financial crises; Global Financial Crisis (GFC), EconomicOperand
Cross-border regulation, EconomicOperand
crisis management and resolution, EconomicOperand
deglobalization of finance, EconomicOperand
enforcement cooperation, EconomicOperand
history and development of market access and licensing, EconomicOperand
market abuse, EconomicOperand
models of cross-border supervision, EconomicOperand
overview, EconomicOperand
regulatory approaches and standards , EconomicOperand
Dark pools, EconomicOperand
defined, EconomicOperand
market fragmentation, EconomicOperand
post-trade transparency requirements, EconomicOperand
regulation after, EconomicOperand
regulatory challenges, EconomicOperand
Deposit insurance, EconomicOperand
macro-regulation of banks, EconomicOperand
origins in US, EconomicOperand
risk-based pricing, EconomicOperand
risk reduction tool, EconomicOperand
Disclosure, EconomicOperand
see also Transparency, EconomicOperand
Basel III, EconomicOperand
conduct of business regulation, EconomicOperand
modal regulatory strategies, EconomicOperand
United States, EconomicOperand
conflicts of interest, EconomicOperand
constraints on negative information, EconomicOperand
firm and product risk, EconomicOperand
harmonization within EU, EconomicOperand
importance, EconomicOperand
importance to institutional design, EconomicOperand
mandatory disclosure, EconomicOperand
core function, EconomicOperand
expansive tendency, EconomicOperand
goals, EconomicOperand
limits and drawbacks, EconomicOperand
rationales, EconomicOperand
retail markets, EconomicOperand
simplified product disclosure, EconomicOperand
Discretionary enforcement, EconomicOperand
Dispute resolution, EconomicOperand
alternative approaches compared, EconomicOperand
importance in international finance, EconomicOperand
overview, EconomicOperand
WTO mechanisms, EconomicOperand
availability, EconomicOperand
delegation under Havana Charter, EconomicOperand
GATT system, EconomicOperand
launch of new system, EconomicOperand
origins, EconomicOperand
unique characteristics, EconomicOperand
Distribution regulation, EconomicOperand
Economic growth and development, EconomicOperand
conduct of business regulation, EconomicOperand
precondition for development of financial systems, EconomicOperand
Efficiency see Market efficiency, EconomicOperand
Efficient capital market hypothesis (ECMH), EconomicOperand
default view of financial economics, EconomicOperand
development of original hypothesis, EconomicOperand
early work by Fama, EconomicOperand
regulatory overview, EconomicOperand
susceptibility to empirical testing, EconomicOperand
why systems are crisis-prone, EconomicOperand
Enforcement, EconomicOperand
see also Sanctions, EconomicOperand
aftermath of thecrash, EconomicOperand
alternative strategies, EconomicOperand
from deterrence to compliance, EconomicOperand
link with compliance strategies, EconomicOperand
role of discretion, EconomicOperand
conduct of business regulation, EconomicOperand
international comparisons, EconomicOperand
United States, EconomicOperand
expense, EconomicOperand
GATT system, EconomicOperand
globalization, EconomicOperand
cross-border cooperation, EconomicOperand
jurisdictional and extraterritorial enforcement, EconomicOperand
role of ‘soft law’, EconomicOperand
impact of different outcomes, EconomicOperand
importance, EconomicOperand
importance of mandates, EconomicOperand
market abuse, EconomicOperand
measuring enforcement, EconomicOperand
outcomes-focused regulation, EconomicOperand
overview, EconomicOperand
powers, EconomicOperand
private enforcement Germany and the UK, EconomicOperand
public and private enforcement compared, EconomicOperand
right of challenge, EconomicOperand
shareholder rights, EconomicOperand
structural prudential regulation, EconomicOperand
trading practices, EconomicOperand
under-regulation, EconomicOperand
US model,, EconomicOperand
Equilibria, EconomicOperand
evolutionary models, EconomicOperand
financial markets in non-equilibrium state, EconomicOperand
general focus from middle of twentieth century, EconomicOperand
Walras’ models of equilibria, EconomicOperand
Equity markets, EconomicOperand
China, EconomicOperand
EU, EconomicOperand
history and development, EconomicOperand
Germany, EconomicOperand
Japan, EconomicOperand
United Kingdom, EconomicOperand
importance of investor protection, EconomicOperand
Korea, EconomicOperand
precondition for development of financial systems, EconomicOperand
European Union (EU), EconomicOperand
bank capital, EconomicOperand
importance, EconomicOperand
inadequacy at time of GFC, EconomicOperand
complex factors shaping regulation, EconomicOperand
conceptual framework, EconomicOperand
conduct of business regulation, EconomicOperand
client categorization, EconomicOperand
complex frameworks, EconomicOperand
duty of care, EconomicOperand
duty of loyalty, EconomicOperand
enforcement and effectiveness, EconomicOperand
impact of GFC, EconomicOperand
modal regulatory strategies, EconomicOperand
overview, EconomicOperand
remuneration-based risks, EconomicOperand
conflicts of interest, EconomicOperand
comments on responses, EconomicOperand
regulatory response, EconomicOperand
consumer protection, EconomicOperand
mortgage-lending practices, EconomicOperand
product intervention, EconomicOperand
reform of wholesale and retail distinction, EconomicOperand
regulatory perceptions and policies, EconomicOperand
control of systemic risk, EconomicOperand
banks and banking, EconomicOperand
impact of GFC, EconomicOperand
macro-prudential supervision, EconomicOperand
micro-prudential supervision, EconomicOperand
creation of internal market and harmonization, EconomicOperand
crisis management and resolution, EconomicOperand
deglobalization of finance, EconomicOperand
development of internal financial market, EconomicOperand
distressed financial institutions, EconomicOperand
funding of resolution, EconomicOperand
multinational coordination of supervision, EconomicOperand
triggering resolution process, EconomicOperand
waiver of property rights, EconomicOperand
enforcement, EconomicOperand
cross-border cooperation, EconomicOperand
jurisdictional and extraterritorial enforcement, EconomicOperand
equity market, EconomicOperand
financial innovation, EconomicOperand
high-frequency trading (HFT) and dark pools, EconomicOperand
new product governance, EconomicOperand
financial market infrastructures (FMIs), EconomicOperand
derivatives markets, EconomicOperand
regulation of CCPs and TRs, EconomicOperand
regulation of CSDs, EconomicOperand
securities markets, EconomicOperand
trading venues,, EconomicOperand
history and development of market access and licensing, EconomicOperand
impact of MiFID, EconomicOperand
institutional regulation, EconomicOperand
Lamfalussy process, EconomicOperand
need for orchestration, EconomicOperand
insurance, EconomicOperand
current approach to regulation, EconomicOperand
effect of single market, EconomicOperand
first-generation integration, EconomicOperand
illustration of integration failure, EconomicOperand
judicial activism, EconomicOperand
liberalization tensions, EconomicOperand
preparing for Solvency II, EconomicOperand
supervision within ESFS, EconomicOperand
macro-prudential supervision, EconomicOperand
market abuse, EconomicOperand
models of cross-border supervision, EconomicOperand
mutual recognition, EconomicOperand
national product-orientated rules, EconomicOperand
regulation of financial innovation, EconomicOperand
risk-based approaches, EconomicOperand
structural prudential regulation, EconomicOperand
trading practices, EconomicOperand
regulators, supervisors and self-regulatory organizations, EconomicOperand
rules, norms and standards, EconomicOperand
Ex ante planning, EconomicOperand
agency theory of disclosure, EconomicOperand
banks and banking, EconomicOperand
efficiency and efficacy concerns, EconomicOperand
second-generation resolution mechanisms, EconomicOperand
consumer protection, EconomicOperand
focus of modern regulation, EconomicOperand
importance, EconomicOperand
macro-prudential regulation, EconomicOperand
mandatory disclosure, EconomicOperand
prevention of systemic risk, EconomicOperand
product intervention,, EconomicOperand
risk-taking, EconomicOperand
Extraterritoriality,,,, EconomicOperand
‘Fat tails’, EconomicOperand
‘Financial citizens’, EconomicOperand
behavioural biases, EconomicOperand
framing effects, EconomicOperand
overconfidence, EconomicOperand
risk tolerance, EconomicOperand
social influences, EconomicOperand
capabilities, EconomicOperand
financial literacy, EconomicOperand
overview, EconomicOperand
cognitive heuristics, EconomicOperand
anchoring and adjustment, EconomicOperand
availability, EconomicOperand
defined, EconomicOperand
representativeness, EconomicOperand
concerns for long-term interests, EconomicOperand
decision-making, EconomicOperand
behavioural biases, EconomicOperand
cognitive heuristics, EconomicOperand
financialization, EconomicOperand
investors and consumers for everyday life , EconomicOperand
limitations, EconomicOperand
absence of institutions and voice, EconomicOperand
exclusion and non-citizenship, EconomicOperand
mass markets and choice, EconomicOperand
origins in social citizenship, EconomicOperand
post-GFC reform, EconomicOperand
conflicts of interest, EconomicOperand
institutional restructuring, EconomicOperand
mortgage-lending practices, EconomicOperand
product intervention, EconomicOperand
restructuring of authorities, EconomicOperand
simplified product disclosure, EconomicOperand
wholesale and retail distinction, EconomicOperand
regulatory perceptions and policies, EconomicOperand
bi-partisan approach, EconomicOperand
as protected investors, EconomicOperand
reflection of changing ideas, EconomicOperand
as well-informed investors or consumers, EconomicOperand
underlying concept, EconomicOperand
Financial collateral and termination arrangements, EconomicOperand
Financial crises, EconomicOperand
see also Financial systems; Global Financial Crisis (GFC), EconomicOperand
development of international regulation, EconomicOperand
fall-out from Asian crisis of, EconomicOperand
Global Financial Crisis (GFC), EconomicOperand
impact of cross-border crisis in s,, EconomicOperand
effect of financial innovation, EconomicOperand
first generation distress resolution mechanisms, EconomicOperand
extension of OLA regime, EconomicOperand
FDIC receivership, EconomicOperand
financial collateral and termination provisions, EconomicOperand
limitations, EconomicOperand
UK Special Resolution Regime, EconomicOperand
waiver of property rights, EconomicOperand
funding of distress resolution, EconomicOperand
impact on policy, EconomicOperand
bank capital requirements, EconomicOperand
capital controls, EconomicOperand
governance theory, EconomicOperand
overview, EconomicOperand
regulators acting as lender of last resort, EconomicOperand
Minsky’s theory of financial instability, EconomicOperand
overview of distress measures, EconomicOperand
policy, EconomicOperand
primary topics of focus, EconomicOperand
roadmap for optimal regulation, EconomicOperand
measurement and specification of agency costs, EconomicOperand
overview, EconomicOperand
promotion of trust, EconomicOperand
timing and source of legal rules, EconomicOperand
second-generation distress resolution mechanisms, EconomicOperand
bail-ins, EconomicOperand
ex ante planning, EconomicOperand
multinational coordination of supervision, EconomicOperand
triggering distress resolution process, EconomicOperand
why systems are crisis-prone, EconomicOperand
agency costs, EconomicOperand
cognitive error, EconomicOperand
efficient capital market hypothesis (ECMH), EconomicOperand
information asymmetry, EconomicOperand
moral hazard, EconomicOperand
overview, EconomicOperand
Financial innovation, EconomicOperand
approach to risk, EconomicOperand
benefits, EconomicOperand
causes of the GFC, EconomicOperand
defined, EconomicOperand
effectiveness of reforms, EconomicOperand
gains and losses resulting, EconomicOperand
illustrative examples, EconomicOperand
impact on financial stability, EconomicOperand
key part of financial system, EconomicOperand
lessons from GFC, EconomicOperand
market stability, EconomicOperand
new product governance, EconomicOperand
new source of systemic risk,, EconomicOperand
overview, EconomicOperand
regulation after , EconomicOperand
centralization of derivatives trading, EconomicOperand
high frequency trading, EconomicOperand
impact of general financial reforms, EconomicOperand
new margin requirements for OTC, EconomicOperand
OTC trading, EconomicOperand
relationship to risk, EconomicOperand
rise and fall in popularity, EconomicOperand
risk of ‘perverse incentives’, EconomicOperand
risks and costs, EconomicOperand
financialization and capital allocation efficiency, EconomicOperand
flawed uses of innovation, EconomicOperand
shadow banking, EconomicOperand
contagion, EconomicOperand
liquidity runs, EconomicOperand
overview, EconomicOperand
pure risk, EconomicOperand
uncontrolled credit expansion, EconomicOperand
Solvency II regulatory methodologies, EconomicOperand
specialized shadow-bank entities, EconomicOperand
Financial literacy, EconomicOperand
Financial market infrastructures (FMIs), EconomicOperand
cornerstone of regulatory reform, EconomicOperand
crisis-era reforms, EconomicOperand
European Union (EU), EconomicOperand
derivatives markets, EconomicOperand
regulation of CCPs and TRs, EconomicOperand
regulation of CSDs, EconomicOperand
securities markets, EconomicOperand
market fragmentation, EconomicOperand
dark pools, EconomicOperand
effect of competition, EconomicOperand
international principles, EconomicOperand
opportunities for abuse, EconomicOperand
trading practices, EconomicOperand
overview, EconomicOperand
policy approaches, EconomicOperand
post-trading infrastructures, EconomicOperand
international regulation, EconomicOperand
systemic impact, EconomicOperand
‘private’ and ‘public’ markets distinguished, EconomicOperand
reduction of systemic risk,, EconomicOperand
role, EconomicOperand
trading venues, EconomicOperand
defined, EconomicOperand
governance, EconomicOperand
United States, EconomicOperand
current trends, EconomicOperand
regulation of CCPs and CSDs, EconomicOperand
regulation of TRs, EconomicOperand
trading venues, EconomicOperand
Financial markets, EconomicOperand
efficient capital market hypothesis (ECMH), EconomicOperand
default view of financial economics, EconomicOperand
development of original hypothesis, EconomicOperand
early work by Fama, EconomicOperand
susceptibility to empirical testing, EconomicOperand
why systems are crisis-prone, EconomicOperand
European Union (EU), EconomicOperand
creation of internal market and harmonization, EconomicOperand
impact of MiFID, EconomicOperand
mutual recognition, EconomicOperand
general focus on equilibria from middle of twentieth century, EconomicOperand
mobile money, EconomicOperand
regulatory overview, EconomicOperand
US objectives, EconomicOperand
Walras’ models of equilibria, EconomicOperand
Financial stability, EconomicOperand
see also Systemic risk, EconomicOperand
bank capital, EconomicOperand
balance-sheet management, EconomicOperand
Basel III, EconomicOperand
change from micro-to macro-prudential approach, EconomicOperand
economic capital management, EconomicOperand
importance, EconomicOperand
international regulation, EconomicOperand
macro-prudential reform of Basel III, EconomicOperand
need for more holistic approach, EconomicOperand
overview, EconomicOperand
regulatory capital management, EconomicOperand
relationship with risk, EconomicOperand
as global public good, EconomicOperand
impact of financial innovation, EconomicOperand
macro-prudential supervision, EconomicOperand
institutional arrangements, EconomicOperand
meaning and scope, EconomicOperand
multilateral coordination, EconomicOperand
objectives, EconomicOperand
policy toolkit, EconomicOperand
Minsky’s theory of financial instability, EconomicOperand
prudential-related regulation, EconomicOperand
impact of GFC, EconomicOperand
objectives, EconomicOperand
purpose of regulation, EconomicOperand
regulatory overview, EconomicOperand
systemic risk, EconomicOperand
changes in way subject tackled, EconomicOperand
impact of GFC, EconomicOperand
institutional arrangements, EconomicOperand
macro-prudential supervision, EconomicOperand
moral hazard, EconomicOperand
‘too-big-to’ problems (TBT), EconomicOperand
trading practices, EconomicOperand
UK equity market, EconomicOperand
United States, EconomicOperand
objectives, EconomicOperand
reform White Paper, EconomicOperand
Treasury Blueprint for a modernized structure, EconomicOperand
Financial systems, EconomicOperand
see also Systemic risk, EconomicOperand
association with innovation, EconomicOperand
banks and banking, EconomicOperand
key role, EconomicOperand
macro-regulation, EconomicOperand
micro-regulation, EconomicOperand
basic characteristics of US regulatory system, EconomicOperand
accountability, EconomicOperand
competency, EconomicOperand
efficiency, EconomicOperand
legitimacy, EconomicOperand
transparency, EconomicOperand
difficult and evolving concept , EconomicOperand
emerging markets, EconomicOperand
equity markets, EconomicOperand
Germany, EconomicOperand
importance of investor protection, EconomicOperand
Japan, EconomicOperand
United Kingdom, EconomicOperand
government-banking sector partnership, EconomicOperand
creation of moral hazard, EconomicOperand
encouragement of desirable activities, EconomicOperand
impact on private banking, EconomicOperand
intended scope, EconomicOperand
importance of risk , EconomicOperand
macro-prudential approach, EconomicOperand
mobile money, EconomicOperand
preconditions for development, EconomicOperand
questioning of conventional wisdoms, EconomicOperand
regulatory overview, EconomicOperand
roadmap for optimal regulation, EconomicOperand
measurement and specification of agency costs, EconomicOperand
overview, EconomicOperand
promotion of trust, EconomicOperand
timing and source of legal rules, EconomicOperand
social purpose and welfare costs , EconomicOperand
UK regulatory approach, EconomicOperand
integrated regulation, EconomicOperand
self-regulation with statutory mandate, EconomicOperand
‘twin peaks’ supervision, EconomicOperand
why systems are crisis-prone, EconomicOperand
agency costs, EconomicOperand
cognitive error, EconomicOperand
efficient capital market hypothesis (ECMH), EconomicOperand
information asymmetry, EconomicOperand
moral hazard, EconomicOperand
overview, EconomicOperand
