This	B-T2	O	O	
term	I-EL	O	O	
foreign	I-EL	O	O	
private	I-EL	O	O	
adviser	I-EL	O	O	
means	B-ER	O	O	
any	I-ER	O	O	
investment	I-ER	B-T1	O	
adviser	I-ER	I-T1	O	
who	I-ER	B-A1	O	
-LRB-	I-ER	I-A1	O	
A	I-ER	I-A1	O	
-RRB-	I-ER	I-A1	O	
has	I-ER	I-A1	O	
no	I-ER	I-A1	O	
place	I-ER	I-A1	O	
of	I-ER	I-A1	O	
business	I-ER	I-A1	O	
in	I-ER	I-A1	O	
the	I-ER	I-A1	O	
United	I-ER	I-A1	O	
States	I-ER	I-A1	O	
;	I-ER	I-A1	O	
-LRB-	I-ER	I-A1	O	
B	I-ER	I-A1	O	
-RRB-	I-ER	I-A1	O	
has	I-ER	I-A1	O	
,	I-ER	I-A1	O	
in	I-ER	I-A1	O	
total	I-ER	I-A1	O	
,	I-ER	I-A1	O	
fewer	I-ER	I-A1	O	
than	I-ER	I-A1	O	
15	I-ER	I-A1	O	
clients	I-ER	I-A1	O	
and	I-ER	I-A1	O	
investors	I-ER	I-A1	O	
in	I-ER	I-A1	O	
the	I-ER	I-A1	O	
United	I-ER	I-A1	O	
States	I-ER	I-A1	O	
in	I-ER	I-A1	O	
private	I-ER	I-A1	B-T1	
funds	I-ER	I-A1	I-T1	
advised	I-ER	I-A1	B-A2	
by	I-ER	I-A1	I-A2	
the	I-ER	I-A1	I-A2	
investment	I-ER	I-A1	I-A2	
adviser	I-ER	I-A1	I-A2	
;	I-ER	I-A1	I-A2	
-LRB-	I-ER	I-A1	O	
C	I-ER	I-A1	O	
-RRB-	I-ER	I-A1	O	
has	I-ER	I-A1	O	
aggregate	I-ER	I-A1	O	
assets	I-ER	I-A1	B-T1	
under	I-ER	I-A1	I-T1	
management	I-ER	I-A1	I-T1	
attributable	I-ER	I-A1	B-A2	
to	I-ER	I-A1	I-A2	
clients	I-ER	I-A1	I-A2	
in	I-ER	I-A1	I-A2	
the	I-ER	I-A1	I-A2	
United	I-ER	I-A1	I-A2	
States	I-ER	I-A1	I-A2	
and	I-ER	I-A1	I-A2	
investors	I-ER	I-A1	I-A2	
in	I-ER	I-A1	I-A2	
the	I-ER	I-A1	I-A2	
United	I-ER	I-A1	I-A2	
States	I-ER	I-A1	I-A2	
in	I-ER	I-A1	I-A2	
private	I-ER	I-A1	I-A2	
funds	I-ER	I-A1	I-A2	
advised	I-ER	I-A1	I-A2	
by	I-ER	I-A1	I-A2	
the	I-ER	I-A1	I-A2	
investment	I-ER	I-A1	I-A2	
adviser	I-ER	I-A1	I-A2	
of	I-ER	I-A1	O	
less	I-ER	I-A1	O	
than	I-ER	I-A1	O	
USD25000000	I-ER	I-A1	O	
,	I-ER	I-A1	O	
or	I-ER	I-A1	O	
such	I-ER	I-A1	B-T1	
higher	I-ER	I-A1	I-T1	
amount	I-ER	I-A1	I-T1	
as	I-ER	I-A1	B-A2	
the	I-ER	I-A1	I-A2	
Commission	I-ER	I-A1	I-A2	
may	I-ER	I-A1	I-A2	
,	I-ER	I-A1	I-A2	
by	I-ER	I-A1	I-A2	
rule	I-ER	I-A1	I-A2	
,	I-ER	I-A1	I-A2	
deem	I-ER	I-A1	I-A2	
appropriate	I-ER	I-A1	I-A2	
in	I-ER	I-A1	I-A2	
accordance	I-ER	I-A1	I-A2	
with	I-ER	I-A1	I-A2	
the	I-ER	I-A1	I-A2	
purposes	I-ER	I-A1	I-A2	
of	I-ER	I-A1	I-A2	
this	I-ER	I-A1	I-A2	
title	I-ER	I-A1	I-A2	
;	I-ER	I-A1	I-A2	
and	I-ER	I-A1	O	
-LRB-	I-ER	I-A1	O	
D	I-ER	I-A1	O	
-RRB-	I-ER	I-A1	O	
neither	I-ER	I-A1	O	
-LRB-	I-ER	I-A1	O	
i	I-ER	I-A1	O	
-RRB-	I-ER	I-A1	O	
holds	I-ER	I-A1	O	
itself	I-ER	I-A1	O	
out	I-ER	I-A1	O	
generally	I-ER	I-A1	O	
to	I-ER	I-A1	O	
the	I-ER	I-A1	O	
public	I-ER	I-A1	O	
in	I-ER	I-A1	O	
the	I-ER	I-A1	O	
United	I-ER	I-A1	O	
States	I-ER	I-A1	O	
as	I-ER	I-A1	O	
an	I-ER	I-A1	O	
investment	I-ER	I-A1	O	
adviser	I-ER	I-A1	O	
;	I-ER	I-A1	O	
nor	I-ER	I-A1	O	
-LRB-	I-ER	I-A1	O	
ii	I-ER	I-A1	O	
-RRB-	I-ER	I-A1	O	
acts	I-ER	I-A1	O	
as	I-ER	I-A1	O	
-LRB-	I-ER	I-A1	O	
I	I-ER	I-A1	O	
-RRB-	I-ER	I-A1	O	
an	I-ER	I-A1	O	
investment	I-ER	I-A1	O	
adviser	I-ER	I-A1	O	
to	I-ER	I-A1	O	
any	I-ER	I-A1	O	
investment	I-ER	I-A1	B-T1	
company	I-ER	I-A1	I-T1	
registered	I-ER	I-A1	B-A2	
under	I-ER	I-A1	I-A2	
the	I-ER	I-A1	I-A2	
Investment	I-ER	I-A1	I-A2	
Company	I-ER	I-A1	I-A2	
Act	I-ER	I-A1	I-A2	
of	I-ER	I-A1	I-A2	
1940	I-ER	I-A1	I-A2	
;	I-ER	I-A1	I-A2	
or	I-ER	I-A1	O	
-LRB-	I-ER	I-A1	O	
II	I-ER	I-A1	O	
-RRB-	I-ER	I-A1	O	
a	I-ER	I-A1	B-T1	
company	I-ER	I-A1	I-T1	
that	I-ER	I-A1	B-A2	
has	I-ER	I-A1	I-A2	
elected	I-ER	I-A1	I-A2	
to	I-ER	I-A1	I-A2	
be	I-ER	I-A1	I-A2	
a	I-ER	I-A1	I-A2	
business	I-ER	I-A1	I-A2	
development	I-ER	I-A1	I-A2	
company	I-ER	I-A1	I-A2	
pursuant	I-ER	I-A1	I-A2	
to	I-ER	I-A1	I-A2	
section	I-ER	I-A1	I-A2	
54	I-ER	I-A1	I-A2	
of	I-ER	I-A1	I-A2	
the	I-ER	I-A1	I-A2	
Investment	I-ER	I-A1	I-A2	
Company	I-ER	I-A1	I-A2	
Act	I-ER	I-A1	I-A2	
of	I-ER	I-A1	I-A2	
1940	I-ER	I-A1	I-A2	
-LRB-	I-ER	I-A1	I-A2	
15	I-ER	I-A1	I-A2	
U.S.C.	I-ER	I-A1	I-A2	
80a-53	I-ER	I-A1	I-A2	
-RRB-	I-ER	I-A1	I-A2	
,	I-ER	I-A1	I-A2	
and	I-ER	I-A1	O	
has	I-ER	I-A1	O	
not	I-ER	I-A1	O	
withdrawn	I-ER	I-A1	O	
its	I-ER	I-A1	O	
election	I-ER	I-A1	O	
.	O	O	O	
As	B-A1	O	O	
used	I-A1	O	O	
in	I-A1	O	O	
this	I-A1	O	O	
title	I-A1	O	O	
,	I-A1	O	O	
the	B-EL	O	O	
terms	I-EL	O	O	
investment	I-EL	O	O	
adviser	I-EL	O	O	
and	I-EL	O	O	
private	I-EL	O	O	
fund	I-EL	O	O	
have	B-ER	O	O	
the	I-ER	O	O	
same	I-ER	O	O	
meanings	I-ER	O	O	
as	I-ER	O	O	
in	I-ER	O	O	
section	I-ER	B-T1	O	
202	I-ER	I-T1	O	
of	I-ER	I-T1	O	
the	I-ER	I-T1	O	
Investment	I-ER	I-T1	O	
Advisers	I-ER	I-T1	O	
Act	I-ER	I-T1	O	
of	I-ER	I-T1	O	
1940	I-ER	I-T1	O	
,	I-ER	I-T1	O	
as	I-ER	B-A1	O	
amended	I-ER	I-A1	O	
by	I-ER	I-A1	O	
this	I-ER	I-A1	O	
title	I-ER	I-A1	O	
.	O	O	O	
Section	B-T3	O	O	
203	I-T3	O	O	
-LRB-	I-T3	O	O	
b	I-T3	O	O	
-RRB-	I-T3	O	O	
of	B-A1	O	O	
the	I-A1	O	O	
Investment	I-A1	O	O	
Advisers	I-A1	O	O	
Act	I-A1	O	O	
of	I-A1	O	O	
1940	I-A1	O	O	
-LRB-	I-A1	O	O	
15	I-A1	O	O	
U.S.C.	I-A1	O	O	
80b-3	I-A1	O	O	
-LRB-	I-A1	O	O	
b	I-A1	O	O	
-RRB-	I-A1	O	O	
-RRB-	I-A1	O	O	
is	B-C	O	O	
amended	I-C	O	O	
-LRB-	I-C	O	O	
1	I-C	O	O	
-RRB-	I-C	O	O	
in	I-C	O	O	
paragraph	I-C	O	O	
-LRB-	I-C	O	O	
1	I-C	O	O	
-RRB-	I-C	O	O	
,	I-C	O	O	
by	B-A1	O	O	
inserting	I-A1	O	O	
,	I-A1	O	O	
other	I-A1	O	O	
than	I-A1	O	O	
an	I-A1	O	O	
investment	I-A1	O	O	
adviser	I-A1	O	O	
who	I-A1	O	O	
acts	I-A1	O	O	
as	I-A1	O	O	
an	I-A1	O	O	
investment	I-A1	O	O	
adviser	I-A1	O	O	
to	I-A1	O	O	
any	I-A1	O	O	
private	I-A1	O	O	
fund	I-A1	O	O	
,	I-A1	O	O	
before	I-A1	O	O	
all	I-A1	O	O	
of	I-A1	O	O	
whose	I-A1	O	O	
;	I-A1	O	O	
-LRB-	I-A1	O	O	
2	I-A1	O	O	
-RRB-	I-A1	O	O	
by	I-A1	O	O	
striking	I-A1	O	O	
paragraph	I-A1	O	O	
-LRB-	I-A1	O	O	
3	I-A1	O	O	
-RRB-	I-A1	O	O	
and	I-A1	O	O	
inserting	I-A1	O	O	
the	I-A1	O	O	
following	I-A1	O	O	
:	I-A1	O	O	
-LRB-	I-A1	O	O	
3	I-A1	O	O	
-RRB-	I-A1	O	O	
any	I-A1	O	O	
investment	I-A1	O	O	
adviser	I-A1	O	O	
that	I-A1	O	O	
is	I-A1	O	O	
a	I-A1	O	O	
foreign	I-A1	O	O	
private	I-A1	O	O	
adviser	I-A1	O	O	
;	I-A1	O	O	
;	I-A1	O	O	
and	I-A1	O	O	
-LRB-	I-A1	O	O	
3	I-A1	O	O	
-RRB-	I-A1	O	O	
in	I-A1	O	O	
paragraph	I-A1	O	O	
-LRB-	I-A1	O	O	
5	I-A1	O	O	
-RRB-	I-A1	O	O	
,	I-A1	O	O	
by	I-A1	O	O	
striking	I-A1	O	O	
or	I-A1	O	O	
at	I-A1	O	O	
the	I-A1	O	O	
end	I-A1	O	O	
;	I-A1	O	O	
-LRB-	I-A1	O	O	
4	I-A1	O	O	
-RRB-	I-A1	O	O	
in	I-A1	O	O	
paragraph	I-A1	O	O	
-LRB-	I-A1	O	O	
6	I-A1	O	O	
-RRB-	I-A1	O	O	
-LRB-	I-A1	O	O	
A	I-A1	O	O	
-RRB-	I-A1	O	O	
by	I-A1	O	O	
striking	I-A1	O	O	
any	I-A1	O	O	
investment	I-A1	O	O	
adviser	I-A1	O	O	
and	I-A1	O	O	
inserting	I-A1	O	O	
-LRB-	I-A1	O	O	
A	I-A1	O	O	
-RRB-	I-A1	O	O	
any	I-A1	O	O	
investment	I-A1	O	O	
adviser	I-A1	O	O	
;	I-A1	O	O	
-LRB-	I-A1	O	O	
B	I-A1	O	O	
-RRB-	I-A1	O	O	
by	I-A1	O	O	
redesignating	I-A1	O	O	
subparagraphs	I-A1	O	O	
-LRB-	I-A1	O	O	
A	I-A1	O	O	
-RRB-	I-A1	O	O	
and	I-A1	O	O	
-LRB-	I-A1	O	O	
B	I-A1	O	O	
-RRB-	I-A1	O	O	
as	I-A1	O	O	
clauses	I-A1	O	O	
-LRB-	I-A1	O	O	
i	I-A1	O	O	
-RRB-	I-A1	O	O	
and	I-A1	O	O	
-LRB-	I-A1	O	O	
ii	I-A1	O	O	
-RRB-	I-A1	O	O	
,	I-A1	O	O	
respectively	I-A1	O	O	
;	I-A1	O	O	
and	I-A1	O	O	
-LRB-	I-A1	O	O	
C	I-A1	O	O	
-RRB-	I-A1	O	O	
in	I-A1	O	O	
clause	I-A1	B-T1	O	
-LRB-	I-A1	I-T1	O	
ii	I-A1	I-T1	O	
-RRB-	I-A1	I-T1	O	
-LRB-	I-A1	O	O	
as	I-A1	B-A2	O	
so	I-A1	I-A2	O	
redesignated	I-A1	I-A2	O	
-RRB-	I-A1	O	O	
,	I-A1	O	O	
by	I-A1	O	O	
striking	I-A1	O	O	
the	I-A1	O	O	
period	I-A1	O	O	
at	I-A1	O	O	
the	I-A1	O	O	
end	I-A1	O	O	
and	I-A1	O	O	
inserting	I-A1	O	O	
;	I-A1	O	O	
or	I-A1	O	O	
;	I-A1	O	O	
and	I-A1	O	O	
-LRB-	I-A1	O	O	
D	I-A1	O	O	
-RRB-	I-A1	O	O	
by	I-A1	O	O	
adding	I-A1	O	O	
at	I-A1	O	O	
the	I-A1	O	O	
end	I-A1	O	O	
the	I-A1	O	O	
following	I-A1	O	O	
:	I-A1	O	O	
-LRB-	B-T3	O	O	
B	I-T3	O	O	
-RRB-	I-T3	O	O	
any	I-T3	O	O	
investment	I-T3	O	O	
adviser	I-T3	O	O	
that	B-A1	O	O	
is	I-A1	O	O	
registered	I-A1	O	O	
with	I-A1	O	O	
the	I-A1	O	O	
Commodity	I-A1	O	O	
Futures	I-A1	O	O	
Trading	I-A1	O	O	
Commission	I-A1	O	O	
as	I-A1	O	O	
a	I-A1	O	O	
commodity	I-A1	O	O	
trading	I-A1	O	O	
advisor	I-A1	O	O	
and	I-A1	O	O	
advises	I-A1	O	O	
a	I-A1	O	O	
private	I-A1	O	O	
fund	I-A1	O	O	
,	I-A1	O	O	
provided	I-A1	O	O	
that	I-A1	O	O	
,	I-A1	O	O	
if	I-A1	B-A2	O	
after	I-A1	I-A2	O	
the	I-A1	I-A2	O	
date	I-A1	I-A2	O	
of	I-A1	I-A2	O	
enactment	I-A1	I-A2	O	
of	I-A1	I-A2	O	
the	I-A1	I-A2	O	
Private	I-A1	I-A2	O	
Fund	I-A1	I-A2	O	
Investment	I-A1	I-A2	O	
Advisers	I-A1	I-A2	O	
Registration	I-A1	I-A2	O	
Act	I-A1	I-A2	O	
of	I-A1	I-A2	O	
2010	I-A1	I-A2	O	
,	I-A1	I-A2	O	
the	I-A1	B-T1	O	
business	I-A1	I-T1	O	
of	I-A1	B-A2	O	
the	I-A1	I-A2	O	
advisor	I-A1	I-A2	O	
should	I-A1	O	O	
become	I-A1	O	O	
predominately	I-A1	O	O	
the	I-A1	O	O	
provision	I-A1	O	O	
of	I-A1	O	O	
securities-	I-A1	O	O	
related	I-A1	O	O	
advice	I-A1	O	O	
,	I-A1	O	O	
then	B-C	O	O	
such	I-C	O	O	
adviser	I-C	O	O	
shall	I-C	O	O	
register	I-C	O	O	
with	I-C	O	O	
the	I-C	O	O	
Commission	I-C	O	O	
.	O	O	O	
-LRB-	B-A1	O	O	
5	I-A1	O	O	
-RRB-	I-A1	O	O	
by	I-A1	O	O	
adding	I-A1	O	O	
at	I-A1	O	O	
the	I-A1	O	O	
end	I-A1	O	O	
the	I-A1	O	O	
following	I-A1	O	O	
:	I-A1	O	O	
-LRB-	B-T1	O	O	
7	I-T1	O	O	
-RRB-	I-T1	O	O	
any	I-T1	O	O	
investment	I-T1	O	O	
adviser	I-T1	O	O	
,	I-T1	O	O	
other	B-A1	O	O	
than	I-A1	O	O	
any	I-A1	B-T1	O	
entity	I-A1	I-T1	O	
that	I-A1	B-A2	O	
has	I-A1	I-A2	O	
elected	I-A1	I-A2	O	
to	I-A1	I-A2	O	
be	I-A1	I-A2	O	
regulated	I-A1	I-A2	O	
or	I-A1	I-A2	O	
is	I-A1	I-A2	O	
regulated	I-A1	I-A2	O	
as	I-A1	I-A2	O	
a	I-A1	I-A2	B-T1	
business	I-A1	I-A2	I-T1	
development	I-A1	I-A2	I-T1	
company	I-A1	I-A2	I-T1	
pursuant	I-A1	I-A2	B-A3	
to	I-A1	I-A2	I-A3	
section	I-A1	I-A2	I-A3	
54	I-A1	I-A2	I-A3	
of	I-A1	I-A2	I-A3	
the	I-A1	I-A2	I-A3	
Investment	I-A1	I-A2	I-A3	
Company	I-A1	I-A2	I-A3	
Act	I-A1	I-A2	I-A3	
of	I-A1	I-A2	I-A3	
1940	I-A1	I-A2	I-A3	
-LRB-	I-A1	I-A2	I-A3	
15	I-A1	I-A2	I-A3	
U.S.C.	I-A1	I-A2	I-A3	
80a-54	I-A1	I-A2	I-A3	
-RRB-	I-A1	I-A2	I-A3	
,	I-A1	I-A2	I-A3	
who	I-A1	O	O	
solely	I-A1	O	O	
advises	I-A1	O	O	
-LRB-	I-A1	O	O	
A	I-A1	O	O	
-RRB-	I-A1	O	O	
small	I-A1	B-T1	O	
business	I-A1	I-T1	O	
investment	I-A1	I-T1	O	
companies	I-A1	I-T1	O	
that	I-A1	B-A2	O	
are	I-A1	I-A2	O	
licensees	I-A1	I-A2	O	
under	I-A1	I-A2	O	
the	I-A1	I-A2	O	
Small	I-A1	I-A2	O	
Business	I-A1	I-A2	O	
Investment	I-A1	I-A2	O	
Act	I-A1	I-A2	O	
of	I-A1	I-A2	O	
1958	I-A1	I-A2	O	
;	I-A1	I-A2	O	
-LRB-	I-A1	O	O	
B	I-A1	O	O	
-RRB-	I-A1	O	O	
entities	I-A1	B-T1	O	
that	I-A1	B-A2	O	
have	I-A1	I-A2	O	
received	I-A1	I-A2	O	
from	I-A1	I-A2	O	
the	I-A1	I-A2	O	
Small	I-A1	I-A2	O	
Business	I-A1	I-A2	O	
Administration	I-A1	I-A2	O	
notice	I-A1	I-A2	O	
to	I-A1	I-A2	O	
proceed	I-A1	I-A2	O	
to	I-A1	I-A2	O	
qualify	I-A1	I-A2	O	
for	I-A1	I-A2	O	
a	I-A1	I-A2	O	
license	I-A1	I-A2	O	
as	I-A1	I-A2	O	
a	I-A1	I-A2	B-T1	
small	I-A1	I-A2	I-T1	
business	I-A1	I-A2	I-T1	
investment	I-A1	I-A2	I-T1	
company	I-A1	I-A2	I-T1	
under	I-A1	I-A2	B-A3	
the	I-A1	I-A2	I-A3	
Small	I-A1	I-A2	I-A3	
Business	I-A1	I-A2	I-A3	
Investment	I-A1	I-A2	I-A3	
Act	I-A1	I-A2	I-A3	
of	I-A1	I-A2	I-A3	
1958	I-A1	I-A2	I-A3	
,	I-A1	I-A2	I-A3	
which	I-A1	I-A2	O	
notice	I-A1	I-A2	O	
or	I-A1	I-A2	O	
license	I-A1	I-A2	O	
has	I-A1	I-A2	O	
not	I-A1	I-A2	O	
been	I-A1	I-A2	O	
revoked	I-A1	I-A2	O	
;	I-A1	I-A2	O	
or	I-A1	O	O	
-LRB-	I-A1	O	O	
C	I-A1	O	O	
-RRB-	I-A1	O	O	
applicants	I-A1	B-T1	O	
that	I-A1	B-A2	O	
are	I-A1	I-A2	O	
affiliated	I-A1	I-A2	O	
with	I-A1	I-A2	O	
1	I-A1	I-A2	O	
or	I-A1	I-A2	O	
more	I-A1	I-A2	O	
licensed	I-A1	I-A2	B-T1	
small	I-A1	I-A2	I-T1	
business	I-A1	I-A2	I-T1	
investment	I-A1	I-A2	I-T1	
companies	I-A1	I-A2	I-T1	
described	I-A1	I-A2	B-A3	
in	I-A1	I-A2	I-A3	
subparagraph	I-A1	I-A2	I-A3	
-LRB-	I-A1	I-A2	I-A3	
A	I-A1	I-A2	I-A3	
-RRB-	I-A1	I-A2	I-A3	
and	I-A1	I-A2	O	
that	I-A1	I-A2	O	
have	I-A1	I-A2	O	
applied	I-A1	I-A2	O	
for	I-A1	I-A2	O	
another	I-A1	I-A2	B-T1	
license	I-A1	I-A2	I-T1	
under	I-A1	I-A2	B-A3	
the	I-A1	I-A2	I-A3	
Small	I-A1	I-A2	I-A3	
Business	I-A1	I-A2	I-A3	
Investment	I-A1	I-A2	I-A3	
Act	I-A1	I-A2	I-A3	
of	I-A1	I-A2	I-A3	
1958	I-A1	I-A2	I-A3	
,	I-A1	I-A2	I-A3	
which	I-A1	I-A2	O	
application	I-A1	I-A2	O	
remains	I-A1	I-A2	O	
pending	I-A1	I-A2	O	
.	O	O	O	
Section	B-T3	O	O	
204	I-T3	O	O	
of	B-A1	O	O	
the	I-A1	O	O	
Investment	I-A1	O	O	
Advisers	I-A1	O	O	
Act	I-A1	O	O	
of	I-A1	O	O	
1940	I-A1	O	O	
-LRB-	I-A1	O	O	
15	I-A1	O	O	
U.S.C.	I-A1	O	O	
80b-4	I-A1	O	O	
-RRB-	I-A1	O	O	
is	B-C	O	O	
amended	I-C	O	O	
-LRB-	B-A1	O	O	
1	I-A1	O	O	
-RRB-	I-A1	O	O	
by	I-A1	O	O	
redesignating	I-A1	O	O	
subsections	I-A1	O	O	
-LRB-	I-A1	O	O	
b	I-A1	O	O	
-RRB-	I-A1	O	O	
and	I-A1	O	O	
-LRB-	I-A1	O	O	
c	I-A1	O	O	
-RRB-	I-A1	O	O	
as	I-A1	O	O	
subsections	I-A1	O	O	
-LRB-	I-A1	O	O	
c	I-A1	O	O	
-RRB-	I-A1	O	O	
and	I-A1	O	O	
-LRB-	I-A1	O	O	
d	I-A1	O	O	
-RRB-	I-A1	O	O	
,	I-A1	O	O	
respectively	I-A1	O	O	
;	I-A1	O	O	
and	I-A1	O	O	
-LRB-	I-A1	O	O	
2	I-A1	O	O	
-RRB-	I-A1	O	O	
by	I-A1	O	O	
inserting	I-A1	O	O	
after	I-A1	O	O	
subsection	I-A1	O	O	
-LRB-	I-A1	O	O	
a	I-A1	O	O	
-RRB-	I-A1	O	O	
the	I-A1	O	O	
following	I-A1	O	O	
:	I-A1	O	O	
The	B-T2	O	O	
Commission	I-T2	O	O	
may	B-C	O	O	
require	I-C	O	O	
any	I-C	O	O	
investment	I-C	B-T1	O	
adviser	I-C	I-T1	O	
registered	I-C	B-A1	O	
under	I-C	I-A1	O	
this	I-C	I-A1	O	
title	I-C	I-A1	O	
-LRB-	B-A1	O	O	
A	I-A1	O	O	
-RRB-	I-A1	O	O	
to	I-A1	O	O	
maintain	I-A1	O	O	
such	I-A1	O	O	
records	I-A1	O	O	
of	I-A1	O	O	
,	I-A1	O	O	
and	I-A1	O	O	
file	I-A1	O	O	
with	I-A1	O	O	
the	I-A1	O	O	
Commission	I-A1	O	O	
such	I-A1	O	O	
reports	I-A1	O	O	
regarding	I-A1	O	O	
,	I-A1	O	O	
private	I-A1	B-T1	O	
funds	I-A1	I-T1	O	
advised	I-A1	B-A2	O	
by	I-A1	I-A2	O	
the	I-A1	I-A2	O	
investment	I-A1	I-A2	O	
adviser	I-A1	I-A2	O	
,	I-A1	I-A2	O	
as	I-A1	I-A2	O	
necessary	I-A1	I-A2	O	
and	I-A1	I-A2	O	
appropriate	I-A1	I-A2	O	
in	I-A1	I-A2	O	
the	I-A1	I-A2	O	
public	I-A1	I-A2	O	
interest	I-A1	I-A2	O	
and	I-A1	I-A2	O	
for	I-A1	I-A2	O	
the	I-A1	I-A2	O	
protection	I-A1	I-A2	O	
of	I-A1	I-A2	O	
investors	I-A1	I-A2	O	
,	I-A1	I-A2	O	
or	I-A1	I-A2	O	
for	I-A1	I-A2	O	
the	I-A1	I-A2	O	
assessment	I-A1	I-A2	O	
of	I-A1	I-A2	O	
systemic	I-A1	I-A2	O	
risk	I-A1	I-A2	O	
by	I-A1	I-A2	O	
the	I-A1	I-A2	O	
Financial	I-A1	I-A2	O	
Stability	I-A1	I-A2	O	
Oversight	I-A1	I-A2	O	
Council	I-A1	I-A2	O	
-LRB-	I-A1	I-A2	O	
in	I-A1	I-A2	B-A3	
this	I-A1	I-A2	I-A3	
subsection	I-A1	I-A2	I-A3	
referred	I-A1	I-A2	I-A3	
to	I-A1	I-A2	I-A3	
as	I-A1	I-A2	I-A3	
the	I-A1	I-A2	I-A3	
Council	I-A1	I-A2	I-A3	
-RRB-	I-A1	I-A2	O	
;	I-A1	I-A2	O	
and	I-A1	O	O	
-LRB-	I-A1	O	O	
B	I-A1	O	O	
-RRB-	I-A1	O	O	
to	I-A1	O	O	
provide	I-A1	O	O	
or	I-A1	O	O	
make	I-A1	O	O	
available	I-A1	O	O	
to	I-A1	O	O	
the	I-A1	O	O	
Council	I-A1	O	O	
those	I-A1	O	O	
reports	I-A1	O	O	
or	I-A1	O	O	
records	I-A1	O	O	
or	I-A1	O	O	
the	I-A1	O	O	
information	I-A1	O	O	
contained	I-A1	O	O	
therein	I-A1	O	O	
.	O	O	O	
The	B-T3	O	O	
records	I-T3	O	O	
and	I-T3	O	O	
reports	I-T3	O	O	
of	I-T3	O	O	
any	I-T3	O	O	
private	I-T3	O	O	
fund	I-T3	O	O	
to	B-A1	O	O	
which	I-A1	O	O	
an	I-A1	O	O	
investment	I-A1	B-T1	O	
adviser	I-A1	I-T1	O	
registered	I-A1	B-A2	O	
under	I-A1	I-A2	O	
this	I-A1	I-A2	O	
title	I-A1	I-A2	O	
provides	I-A1	O	O	
investment	I-A1	O	O	
advice	I-A1	O	O	
